x,y,edition_count,geo_tiff_count,tile_id
71,-35,2,2,3471
71,-36,2,2,3571
71,-37,2,2,3671
71,-38,4,4,3771
71,-39,6,6,3871
71,-40,5,5,3971
71,-41,7,7,4071
71,-42,5,5,4171
71,-43,4,4,4271
71,-44,6,5,4371
71,-45,3,3,4471
71,-46,4,4,4571
71,-47,6,6,4671
71,-48,6,6,4771
71,-49,8,7,4871
71,-50,6,6,4971
71,-51,4,4,5071
71,-52,5,5,5171
71,-53,5,4,5271
71,-54,5,5,5371
71,-55,8,8,5471
71,-56,5,4,5571
71,-57,6,6,5671
71,-58,5,5,5771
71,-59,6,6,5871
71,-66,1,1,6571
71,-67,1,1,6671
71,-68,1,1,6771
71,-69,1,1,6871
71,-70,1,1,6971
71,-71,1,1,7071
71,-72,1,1,7171
72,-30,1,1,2972
72,-31,4,4,3072
72,-32,2,2,3172
72,-33,1,1,3272
72,-34,4,4,3372
72,-35,3,3,3472
72,-36,1,0,3572
72,-37,3,2,3672
72,-38,4,4,3772
72,-39,6,6,3872
72,-40,6,6,3972
72,-41,7,7,4072
72,-42,4,4,4172
72,-43,5,5,4272
72,-44,7,7,4372
72,-45,7,7,4472
72,-46,5,5,4572
72,-47,6,6,4672
72,-48,5,5,4772
72,-49,7,7,4872
72,-50,6,6,4972
72,-51,5,5,5072
72,-52,5,4,5172
72,-53,4,4,5272
72,-54,6,6,5372
72,-55,7,7,5472
72,-56,5,5,5572
72,-57,7,7,5672
72,-58,6,6,5772
72,-59,4,4,5872
73,-31,1,1,3073
73,-32,1,1,3173
73,-33,2,2,3273
73,-34,2,2,3373
73,-35,3,3,3473
73,-36,2,2,3573
73,-37,2,2,3673
73,-38,6,6,3773
73,-39,7,7,3873
73,-40,5,5,3973
73,-41,6,6,4073
73,-42,7,7,4173
73,-43,8,8,4273
73,-44,5,5,4373
73,-45,6,6,4473
73,-46,6,6,4573
73,-47,5,5,4673
73,-48,5,5,4773
73,-49,7,7,4873
73,-50,5,5,4973
73,-51,5,5,5073
73,-52,4,4,5173
73,-53,4,4,5273
73,-54,7,6,5373
73,-55,7,7,5473
73,-56,4,4,5573
73,-57,8,8,5673
73,-58,6,6,5773
74,-30,1,1,2974
74,-31,1,1,3074
74,-32,1,1,3174
74,-33,1,1,3274
74,-34,3,3,3374
74,-35,1,1,3474
74,-36,3,3,3574
74,-37,2,2,3674
74,-38,3,3,3774
74,-39,7,7,3874
74,-40,6,0,3974
74,-41,5,5,4074
74,-42,5,5,4174
74,-43,7,7,4274
74,-44,8,8,4374
74,-45,6,6,4474
74,-46,8,8,4574
74,-47,8,8,4674
74,-48,6,6,4774
74,-49,7,7,4874
74,-50,8,8,4974
74,-51,6,5,5074
74,-52,4,4,5174
74,-53,4,4,5274
74,-54,5,5,5374
74,-55,6,6,5474
74,-56,5,5,5574
74,-57,6,6,5674
74,-58,5,5,5774
74,-59,6,6,5874
75,-30,1,1,2975
75,-31,1,1,3075
75,-32,1,1,3175
75,-33,1,1,3275
75,-34,1,1,3375
75,-35,2,2,3475
75,-36,2,2,3575
75,-37,1,1,3675
75,-38,2,2,3775
75,-39,2,2,3875
75,-40,3,3,3975
75,-41,4,4,4075
75,-42,6,6,4175
75,-43,6,6,4275
75,-44,5,5,4375
75,-45,7,7,4475
75,-46,7,7,4575
75,-47,7,7,4675
75,-48,6,6,4775
75,-49,7,7,4875
75,-50,5,5,4975
75,-51,6,6,5075
75,-52,4,4,5175
75,-53,7,7,5275
75,-54,7,7,5375
75,-55,6,6,5475
75,-56,6,6,5575
75,-57,7,7,5675
75,-58,9,8,5775
75,-59,4,4,5875
76,-32,2,2,3176
